,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
485,485,3024458,14 West 103rd Street #11B,"['40.79632815,-73.96255059']",2796,2.0,1.0,900.0,40.79632815,-73.96255059,Apartment,16,1,195,10,1,371,-0.0742867811862174,-0.9617818626180654,0.07783044149385465,-1.1539587021511821,-0.6172374752817067,-0.15326958331104476,3024458
486,486,3024452,330 East 38th Street #12O,"['40.74629974,-73.97270203']",3000,0.0,1.0,0.0,40.74629974,-73.97270203,Apartment,9,2,152,32,0,401,-0.7378223223885434,-0.844058909375516,-0.224671762731774,-0.8177940787334378,-0.7653006892653381,0.01773287054523199,3024452
487,487,3024440,15 Cliff Street #7F,"['40.70830154,-74.00550079']",3085,0.0,1.0,428.0,40.70830154,-74.00550079,Apartment,18,8,138,132,10,165,0.11529480201444718,-0.13772118992021917,-0.3231608524796531,0.7102269368017639,0.7153314505709757,-1.3274864331241452,3024440
488,488,3024438,101 W End Avenue #24C,"['40.77510071,-73.98840332']",5365,2.0,2.0,923.0,40.77510071,-73.98840332,Apartment,3,1,72,6,0,267,-1.3065670719905371,-0.9617818626180654,-0.7874665612910832,-1.2150795427725902,-0.7653006892653381,-0.7460780900128042,3024438
489,489,3024435,300 East 3rd Street #1A,"['40.72100067,-73.97949982']",2100,0.0,1.0,0.0,40.72100067,-73.97949982,Apartment,14,5,452,14,0,387,-0.263868364386882,-0.49089004964786753,1.8858087318656351,-1.092837861529774,-0.7653006892653381,-0.06206827458769716,3024435
490,490,3024423,647 Ninth Avenue #PH,"['40.76066607,-73.99136912']",5600,3.0,2.0,0.0,40.76066607,-73.99136912,Apartment,28,27,199,194,1,567,1.06320271801777,2.0990149216882203,0.1059701814218201,1.6575999664335888,-0.6172374752817067,0.9639464485499634,3024423
491,491,3024421,226 East 87th Street #2C,"['40.77890015,-73.95259857']",3162,0.0,1.0,0.0,40.77890015,-73.95259857,Apartment,25,9,178,98,12,506,0.7788303432167731,-0.019998236677669697,-0.04176345319999854,0.1906997915197953,1.0114578785382384,0.6162414590422006,3024421
492,492,3023633,405 E 54th Street #4J,"['40.75630188,-73.96360016']",3500,1.0,1.0,900.0,40.75630188,-73.96360016,Apartment,13,2,75,42,0,570,-0.35865915598721426,-0.844058909375516,-0.7663617563451091,-0.6649919771799176,-0.7653006892653381,0.9810466939355911,3023633
493,493,3024411,14 West 103rd Street #55A,"['40.79632815,-73.96255059']",3663,3.0,1.0,0.0,40.79632815,-73.96255059,Apartment,16,1,195,10,1,371,-0.0742867811862174,-0.9617818626180654,0.07783044149385465,-1.1539587021511821,-0.6172374752817067,-0.15326958331104476,3024411
494,494,3024406,240 East 86th Street #8K,"['40.77799988,-73.95259857']",3500,0.0,1.0,0.0,40.77799988,-73.95259857,Apartment,22,10,200,102,8,505,0.4944579684157763,0.09772471656487977,0.11300511640381147,0.25182063214120337,0.4192050226037129,0.6105413772469914,3024406
495,495,3014565,40 Waterside Plaza #D632,"['40.73849869,-73.97290039']",5000,3.0,1.0,1.0,40.73849869,-73.97290039,Apartment,0,0,2,3,0,3,-1.590939446791534,-1.0795048158606149,-1.2799120100304786,-1.2609201732386461,-0.7653006892653381,-2.2508996839480395,3014565
496,496,3007147,400 East 84th Street #11D,"['40.77519989,-73.95020294']",4590,1.0,1.0,700.0,40.77519989,-73.95020294,Apartment,26,9,144,89,1,599,0.8736211348171055,-0.019998236677669697,-0.28095124258770493,0.05317790012162715,-0.6172374752817067,1.1463490659966586,3007147
497,497,2989060,350 West 43rd Street #32D,"['40.75850869,-73.99128999']",4295,1.0,1.0,0.0,40.75850869,-73.99128999,Apartment,40,29,157,221,8,333,2.2006922172217576,2.3344608281733192,-0.18949708782181718,2.070165640628093,0.4192050226037129,-0.3698726915289953,2989060
